date,close
2015-01-05,242.15
2015-01-06,244.45
2015-01-07,245.25
2015-01-08,244.5
2015-01-09,245.15
2015-01-12,247.75
2015-01-13,249.0
2015-01-14,247.9
2015-01-15,246.75
2015-01-16,253.65
2015-01-19,257.85
2015-01-20,257.65
2015-01-21,262.2
2015-01-22,259.05
2015-01-23,261.4
2015-01-26,261.6
2015-01-27,259.9
2015-01-28,260.8
2015-01-29,259.3
2015-01-30,255.05
2015-02-02,259.1
2015-02-03,259.4
2015-02-04,256.35
2015-02-05,257.5
2015-02-06,256.7
2015-02-09,251.4
2015-02-10,252.05
2015-02-11,250.8
2015-02-12,247.85
2015-02-13,249.45
2015-02-16,250.3
2015-02-17,249.0
2015-02-25,245.1
2015-02-26,246.45
2015-02-27,246.65
2015-03-02,249.3
2015-03-03,247.05
2015-03-04,246.7
2015-03-05,245.65
2015-03-06,245.0
2015-03-09,239.9
2015-03-10,237.5
2015-03-11,238.25
2015-03-12,238.4
2015-03-13,237.2
2015-03-16,238.0
2015-03-17,236.25
2015-03-18,233.65
2015-03-19,237.75
2015-03-20,237.4
2015-03-23,239.75
2015-03-24,241.1
2015-03-25,241.15
2015-03-26,243.9
2015-03-27,243.25
2015-03-30,240.4
2015-03-31,237.85
2015-04-01,238.35
2015-04-02,242.95
2015-04-03,241.75
2015-04-07,243.9
2015-04-08,243.75
2015-04-09,240.5
2015-04-10,240.25
2015-04-13,242.6
2015-04-14,240.15
2015-04-15,240.1
2015-04-16,241.75
2015-04-17,240.85
2015-04-20,242.75
2015-04-21,239.9
2015-04-22,241.2
2015-04-23,237.4
2015-04-24,238.9
2015-04-27,236.55
2015-04-28,240.75
2015-04-29,242.45
2015-04-30,241.2
2015-05-04,237.55
2015-05-05,238.5
2015-05-06,239.75
2015-05-07,240.05
2015-05-08,241.05
2015-05-11,241.15
2015-05-12,240.6
2015-05-13,242.7
2015-05-14,247.15
2015-05-15,247.45
2015-05-18,249.2
2015-05-19,247.75
2015-05-20,244.25
2015-05-21,245.1
2015-05-22,244.6
2015-05-25,244.2
2015-05-26,242.5
2015-05-27,241.1
2015-05-28,241.05
2015-05-29,240.8
2015-06-01,240.55
2015-06-02,240.85
2015-06-03,241.15
2015-06-04,239.2
2015-06-05,238.35
2015-06-08,237.7
2015-06-09,238.6
2015-06-10,239.65
2015-06-11,240.1
2015-06-12,239.5
2015-06-15,239.75
2015-06-16,240.55
2015-06-17,238.65
2015-06-18,240.3
2015-06-19,242.55
2015-06-23,237.85
2015-06-24,238.6
2015-06-25,238.25
2015-06-26,237.35
2015-06-29,239.25
2015-06-30,238.05
2015-07-01,237.7
2015-07-02,235.9
2015-07-03,236.7
2015-07-06,236.35
2015-07-07,236.9
2015-07-08,231.7
2015-07-09,235.4
2015-07-10,235.2
2015-07-13,235.15
2015-07-14,233.3
2015-07-15,233.5
2015-07-16,231.5
2015-07-17,231.3
2015-07-20,225.65
2015-07-21,223.05
2015-07-22,220.65
2015-07-23,221.1
2015-07-24,219.3
2015-07-27,223.7
2015-07-28,221.75
2015-07-29,221.85
2015-07-30,219.05
2015-07-31,218.15
2015-08-03,221.6
2015-08-04,219.3
2015-08-05,219.15
2015-08-06,218.7
2015-08-07,221.2
2015-08-10,221.55
2015-08-11,226.3
2015-08-12,235.45
2015-08-13,234.25
2015-08-14,232.85
2015-08-17,232.85
2015-08-18,232.45
2015-08-19,233.55
2015-08-20,236.95
2015-08-21,240.8
2015-08-24,240.0
2015-08-25,239.5
2015-08-26,236.8
2015-08-27,234.75
2015-08-28,235.25
2015-08-31,235.55
2015-09-01,236.75
2015-09-02,236.6
2015-09-03,236.2
2015-09-07,233.25
2015-09-08,232.25
2015-09-09,232.9
2015-09-10,229.8
2015-09-11,229.6
2015-09-14,229.25
2015-09-15,229.3
2015-09-16,229.3
2015-09-17,231.95
2015-09-18,233.3
2015-09-21,235.7
2015-09-22,234.45
2015-09-23,233.6
2015-09-24,235.5
2015-09-25,237.2
2015-09-28,234.75
2015-09-29,232.25
2015-09-30,231.0
2015-10-01,231.9
2015-10-08,234.9
2015-10-09,235.05
2015-10-12,238.25
2015-10-13,236.45
2015-10-14,240.35
2015-10-15,241.65
2015-10-16,240.95
2015-10-19,240.2
2015-10-20,239.95
2015-10-21,240.2
2015-10-22,239.4
2015-10-23,240.9
2015-10-26,238.7
2015-10-27,238.95
2015-10-28,240.45
2015-10-29,237.75
2015-10-30,234.85
2015-11-02,233.5
2015-11-03,232.55
2015-11-04,229.25
2015-11-05,227.4
2015-11-06,227.8
2015-11-09,224.65
2015-11-10,224.8
2015-11-11,227.2
2015-11-12,226.35
2015-11-13,225.3
2015-11-16,228.75
2015-11-17,224.5
2015-11-18,223.1
2015-11-19,224.4
2015-11-20,225.9
2015-11-23,222.95
2015-11-24,223.1
2015-11-25,224.95
2015-11-26,223.55
2015-11-27,222.95
2015-11-30,219.15
2015-12-01,224.15
2015-12-02,222.9
2015-12-03,220.0
2015-12-04,221.95
2015-12-07,227.55
2015-12-08,225.3
2015-12-09,226.3
2015-12-10,225.7
2015-12-11,225.95
2015-12-14,226.95
